address_id,street_number,street_name,zip,city_state_id
1,507,509 Esplanade,90277,2472
2,146,Lochview Dr,23602,25700
3,3101,Morningside Dr,27607,14703
4,209,Aegean Way,95687,2707
5,4805,Marquette NE,87108,16593
6,7801,Marble NE,87110,16593
7,5,Salt Marsh Quay Apartment H,23666,25531
8,11280,W 20th Avenue,80215,3012
9,1427,Lewis St,25301,27526
10,10201,Remmet Ave,91311,1794
11,315,Wittenridge CT,30022,3993
12,39,Intrepid Cir Unit 301,01945,9814
13,2537,North Capitol St NE,20002,3439
14,6347,E Ironwood Drive,85266,1533
15,1502,Delaware,50014,4689
16,10012,NE 122nd St P-D,98034,26417
17,2447,Harry Wurzbach Rd,78209,24678
18,712,Villa Ave,60181,7014
19,0,Ivy Place 1201 Ivy Rd,38655,13686
20,7428,N Charleston Avenue,97203,20399
21,610,NW 17th Avenue,97209,20399
22,7011,W Parmer Lane,78729,23607
23,2800,Sunrise Road,78664,24655
24,12330,Metric Boulevard,78758,23607
25,8021,Fm 620 North,78726,23607
26,11500,Jollyville Road,78759,23607
27,809,S Lamar,78704,23607
28,800,Wolf Ranch Parkway,78628,24035
29,3,Mill Ridge Farm,92694,2135
30,1912,E William Cannon,78744,23607
31,4685,N Haverhill Rd,33417,3959
32,300,E Riverside Drive,78704,23607
33,1101,Sam Bass Circle,78681,24655
34,5125,Walnut St Lower,64112,12967
35,24625,Wilderness Oak,78260,24678
36,2123,Shady Avenue,15217,21668
37,4525,100th St,50322,5512
38,4092,Tpc Parkway,78261,24678
39,12,Chester St,02134,9606
40,636,Villa Center Way,95128,2534
41,7,Embarcadero West Unit 119,94607,2341
42,3946,Angelo Ave,94619,2341
43,27201,South Ridge Dr,92692,2267
44,2948,Hillegass Avenue,94705,1676
45,2212,Regent St,53726,27073
46,4320,North Towne Court,53598,27393
47,5235,Kester Avenue,91411,2586
48,5206,Moonlight Dr Trail SW,28025,14324
49,815,18th St S,22202,25241
50,5402,Taney Avenue,22304,25230
51,530,Fairview Dr,30157,4124
52,1535,W Addison,60613,6061
53,2613,E Archer St,74110,20087
54,425,Park Boulevard,84401,25139
55,5230,Eastwinds Drive,32819,3834
56,1,Point St,02903,22300
57,229,S Adams Road,99216,26616
58,745,Hamilton St,08873,16501
59,711,W Elm,61801,6995
60,425,North 5th St,47901,7419
61,107,E Healey,61820,6046
62,1500,7th St,95814,2511
63,701,Northeast Tudor Rd,64086,13010
64,6465,Longleaf Branch Dr,32222,3706
65,1010,Highway 87 South,77630,24488
66,4456,Broadway,80304,2835
67,7602,Luskey Boulevard,78256,24678
68,4300,Flint Hill Drive,21117,10337
69,4016,Twickenham CT,27613,14703
70,190,112th Avenue N,33716,3895
71,2000,Bay Area Boulevard,77002,24133
72,3717-21,Westminster Place Westminster Place,63108,13272
73,713,1st Avenue N,98032,26413
74,2930,N Shartel Ave,73103,19958
75,516,Thomas,62025,6185
76,1333,S Wabash Avenue,60605,6061
77,1600,Vogt Drive,53095,27373
78,1700,Juniper Dr,43402,18655
79,325,N 33rd Court,98642,26572
80,3101,Charlotte Avenue,37209,23366
81,150,NW Hermosa Boulevard,97210,20399
82,2004,Sierra Commons Road,58601,14992
83,3618,Farnam St,68131,15634
84,3707,Woodley Rd NW,20016,3439
85,10509,Meandering Way,72903,936
86,350-370,Chinquapin Ave,92008,1768
87,224,Halsey St,58214,14924
88,2025,University Avenue,53726,27073
89,420,Vine St,98121,26593
90,744/750,E Michigan Ave,49014,10943
91,209,Winchester Beach Dr,21409,10075
92,1204,Cottonwood St,58201,15046
93,4311,Spruce St,19104,21657
94,15510,NE 86th St,98682,26657
95,6201,Grissom Road,78238,24678
96,1917,S 18th St,68108,15634
97,7312,South 81st St,68128,15544
98,4301,Grand Ave Parkway,78728,23607
99,2101,W Anderson Lane,78757,23607
100,311,Bowie,78703,23607
101,3600,Greystone,78731,23607
102,12700,Ridgeline Boulevard,78613,23767
103,7406,31st St St W,98466,26652
104,4144,Langland St,45223,18730
105,2850,Oak Road,77584,24514
106,88,Fox Hollow Lane,44212,18672
107,11506,Truro Avenue Unit D,90250,2038
108,6637,Carleton Avenue S Unit C,98108,26593
109,4637,Cochise CT,94588,2430
110,468,Adeline Avenue,95136,2534
111,7003,W Saint Charles Ave,85339,1447
112,626,Lakeridge Dr SE,30094,4109
