city_state_id,city,state
1,Adak,AK
2,Akiachak,AK
3,Akiak,AK
4,Akutan,AK
5,Alakanuk,AK
6,Aleknagik,AK
7,Allakaket,AK
8,Ambler,AK
9,Anaktuvuk Pass,AK
10,Anchor Point,AK
11,Anchorage,AK
12,Anderson,AK
13,Angoon,AK
14,Aniak,AK
15,Anvik,AK
16,Arctic Village,AK
17,Atka,AK
18,Atqasuk,AK
19,Barrow,AK
20,Beaver,AK
21,Bethel,AK
22,Bettles Field,AK
23,Big Lake,AK
24,Brevig Mission,AK
25,Buckland,AK
26,Cantwell,AK
27,Central,AK
28,Chalkyitsik,AK
29,Chefornak,AK
30,Chevak,AK
31,Chicken,AK
32,Chignik,AK
33,Chignik Lagoon,AK
34,Chignik Lake,AK
35,Chitina,AK
36,Chugiak,AK
37,Circle,AK
38,Clam Gulch,AK
39,Clarks Point,AK
40,Clear,AK
41,Coffman Cove,AK
42,Cold Bay,AK
43,Cooper Landing,AK
44,Copper Center,AK
45,Cordova,AK
46,Craig,AK
47,Crooked Creek,AK
48,Deering,AK
49,Delta Junction,AK
50,Denali National Park,AK
51,Dillingham,AK
52,Douglas,AK
53,Dutch Harbor,AK
54,Eagle,AK
55,Eagle River,AK
56,Eek,AK
57,Egegik,AK
58,Eielson Afb,AK
59,Ekwok,AK
60,Elfin Cove,AK
61,Elim,AK
62,Emmonak,AK
63,Ester,AK
64,Fairbanks,AK
65,False Pass,AK
66,Fort Wainwright,AK
67,Fort Yukon,AK
68,Gakona,AK
69,Galena,AK
70,Gambell,AK
71,Girdwood,AK
72,Glennallen,AK
73,Goodnews Bay,AK
74,Grayling,AK
75,Gustavus,AK
76,Haines,AK
77,Healy,AK
78,Holy Cross,AK
79,Homer,AK
80,Hoonah,AK
81,Hooper Bay,AK
82,Hope,AK
83,Houston,AK
84,Hughes,AK
85,Huslia,AK
86,Hydaburg,AK
87,Hyder,AK
88,Iliamna,AK
89,Indian,AK
90,Jber,AK
91,Juneau,AK
92,Kake,AK
93,Kaktovik,AK
94,Kalskag,AK
95,Kaltag,AK
96,Karluk,AK
97,Kasigluk,AK
98,Kasilof,AK
99,Kenai,AK
100,Ketchikan,AK
101,Kiana,AK
102,King Cove,AK
103,King Salmon,AK
104,Kipnuk,AK
105,Kivalina,AK
106,Klawock,AK
107,Kobuk,AK
108,Kodiak,AK
109,Kotlik,AK
110,Kotzebue,AK
111,Koyuk,AK
112,Koyukuk,AK
113,Kwethluk,AK
114,Kwigillingok,AK
115,Lake Minchumina,AK
116,Larsen Bay,AK
117,Levelock,AK
118,Lower Kalskag,AK
119,Manley Hot Springs,AK
120,Manokotak,AK
121,Marshall,AK
122,McGrath,AK
123,Mekoryuk,AK
124,Metlakatla,AK
125,Meyers Chuck,AK
126,Minto,AK
127,Moose Pass,AK
128,Mountain Village,AK
129,Naknek,AK
130,Napakiak,AK
131,Nenana,AK
132,New Stuyahok,AK
133,Nightmute,AK
134,Nikiski,AK
135,Nikolai,AK
136,Nikolski,AK
137,Ninilchik,AK
138,Noatak,AK
139,Nome,AK
140,Nondalton,AK
141,Noorvik,AK
142,North Pole,AK
143,Northway,AK
144,Nuiqsut,AK
145,Nulato,AK
146,Nunam Iqua,AK
147,Nunapitchuk,AK
148,Old Harbor,AK
149,Ouzinkie,AK
150,Palmer,AK
151,Pedro Bay,AK
152,Pelican,AK
153,Perryville,AK
154,Petersburg,AK
155,Pilot Point,AK
156,Pilot Station,AK
157,Platinum,AK
158,Point Baker,AK
159,Point Hope,AK
160,Point Lay,AK
161,Port Alexander,AK
162,Port Alsworth,AK
163,Port Heiden,AK
164,Port Lions,AK
165,Prudhoe Bay,AK
166,Quinhagak,AK
167,Rampart,AK
168,Red Devil,AK
169,Ruby,AK
170,Russian Mission,AK
171,Saint George Island,AK
172,Saint Marys,AK
173,Saint Michael,AK
174,Saint Paul Island,AK
175,Salcha,AK
176,Sand Point,AK
177,Savoonga,AK
178,Scammon Bay,AK
179,Selawik,AK
180,Seldovia,AK
181,Seward,AK
182,Shageluk,AK
183,Shaktoolik,AK
184,Shishmaref,AK
185,Shungnak,AK
186,Sitka,AK
187,Skagway,AK
188,Skwentna,AK
189,Sleetmute,AK
190,Soldotna,AK
191,South Naknek,AK
192,Stebbins,AK
193,Sterling,AK
194,Stevens Village,AK
195,Sutton,AK
196,Takotna,AK
197,Talkeetna,AK
198,Tanacross,AK
199,Tanana,AK
200,Tatitlek,AK
201,Teller,AK
202,Tenakee Springs,AK
203,Thorne Bay,AK
204,Togiak,AK
205,Tok,AK
206,Toksook Bay,AK
207,Trapper Creek,AK
208,Tuluksak,AK
209,Tuntutuliak,AK
210,Tununak,AK
211,Tyonek,AK
212,Unalakleet,AK
213,Unalaska,AK
214,Valdez,AK
215,Venetie,AK
216,Wainwright,AK
217,Wales,AK
218,Wasilla,AK
219,White Mountain,AK
220,Whittier,AK
221,Willow,AK
222,Wrangell,AK
223,Yakutat,AK
224,Abbeville,AL
225,Adamsville,AL
226,Addison,AL
227,Adger,AL
228,Akron,AL
229,Alabaster,AL
230,Alberta,AL
231,Albertville,AL
232,Alexander City,AL
233,Alexandria,AL
234,Aliceville,AL
235,Allgood,AL
236,Alpine,AL
237,Altoona,AL
238,Andalusia,AL
239,Anderson,AL
240,Anniston,AL
241,Arab,AL
242,Ardmore,AL
243,Ariton,AL
244,Arley,AL
245,Arlington,AL
246,Ashford,AL
247,Ashland,AL
248,Ashville,AL
249,Athens,AL
250,Atmore,AL
251,Attalla,AL
252,Auburn,AL
253,Auburn University,AL
254,Autaugaville,AL
255,Axis,AL
256,Baileyton,AL
257,Banks,AL
258,Bankston,AL
259,Bay Minette,AL
260,Bayou La Batre,AL
261,Bear Creek,AL
262,Beatrice,AL
263,Beaverton,AL
264,Belk,AL
265,Bellamy,AL
266,Belle Mina,AL
267,Bellwood,AL
268,Berry,AL
269,Bessemer,AL
270,Billingsley,AL
271,Birmingham,AL
272,Black,AL
273,Blountsville,AL
274,Boaz,AL
275,Boligee,AL
276,Bon Air,AL
277,Bon Secour,AL
278,Booth,AL
279,Boykin,AL
280,Brantley,AL
281,Bremen,AL
282,Brent,AL
283,Brewton,AL
284,Bridgeport,AL
285,Brierfield,AL
286,Brilliant,AL
287,Brookside,AL
