zip,population,latitude,longitude
00000,0,0,0
00601,16669,18.18027,-66.75266
00602,37233,18.36075,-67.17541
00603,48448,18.45744,-67.12225
00606,5163,18.16585,-66.93716
00610,25357,18.2911,-67.12243
00611,1383,18.27698,-66.80688
00612,62908,18.41283,-66.7051
00616,9717,18.41878,-66.6679
00617,22584,18.44598,-66.56006
00622,7664,17.98892,-67.1566
00623,39212,18.08429,-67.15336
00624,21148,18.05905,-66.71932
00627,32734,18.41905,-66.86037
00631,1321,18.1852,-66.83169
00637,22909,18.081,-66.94659
00638,17319,18.28462,-66.5137
00641,23831,18.26742,-66.70212
00646,35998,18.43251,-66.28429
00647,4369,17.96667,-66.94266
00650,13200,18.34487,-66.58347
00652,4504,18.45614,-66.60194
00653,8495,17.99413,-66.90266
00656,17398,18.04186,-66.79123
00659,37327,18.41036,-66.79691
00660,15405,18.13412,-67.11399
00662,41090,18.46622,-67.01508
00664,14807,18.21064,-66.59066
00667,22792,18.01246,-67.0417
00669,27417,18.27019,-66.86727
00670,8512,18.23782,-66.98852
00674,39093,18.42229,-66.4891
00676,36972,18.37897,-67.08098
00677,15483,18.33535,-67.23155
00678,24595,18.42949,-66.93016
00680,42689,18.16307,-67.36122
00682,28977,18.22415,-67.15309
00683,29490,18.10926,-67.03803
00685,39988,18.33656,-66.97518
00687,28397,18.31707,-66.42029
00688,10028,18.3807,-66.62496
00690,5870,18.49363,-67.09734
00692,32802,18.40905,-66.33768
00693,55387,18.42633,-66.39811
00694,125,18.48327,-66.39269
00698,32535,18.07274,-66.85519
00703,24263,18.24739,-66.13143
00704,6256,17.97442,-66.22888
00705,24471,18.1294,-66.26653
00707,10319,18.01752,-65.92127
00714,15341,17.9981,-66.05635
00715,2082,17.99738,-66.56104
00716,27945,17.99942,-66.59868
00717,14577,18.00272,-66.61146
00718,23026,18.23145,-65.76067
00719,29932,18.28879,-66.25316
00720,21037,18.21559,-66.42421
00723,15643,18.03139,-66.01122
00725,73462,18.22052,-66.03962
00727,55191,18.21142,-66.07374
00728,36532,18.00697,-66.65995
00729,47067,18.33524,-65.88677
00730,31081,18.03256,-66.61384
00731,9724,18.09914,-66.63279
00735,10949,18.2525,-65.67534
00736,45306,18.10736,-66.14994
00738,29980,18.31793,-65.66793
